Date,Open,High,Low,Close,Adj Close,Volume,Day
2/7/17,210.649994,210.839996,209.990005,210.25,185.877777,1194600,741
2/8/17,210.25,210.610001,209.630005,210.520004,186.116516,1096100,742
2/9/17,210.520004,212.039993,210.520004,211.720001,187.177338,1237100,743
2/10/17,212.130005,212.800003,212.009995,212.570007,187.928787,1412400,744
2/13/17,213.110001,214,213.070007,213.699997,188.927826,1756300,745
2/14/17,213.550003,214.589996,213.160004,214.589996,189.714661,2528100,746
2/15/17,214.339996,215.889999,214.309998,215.679993,190.678299,2050200,747
2/16/17,215.740005,215.899994,214.729996,215.509995,190.528,1920100,748
2/17/17,214.839996,215.839996,214.789993,215.839996,190.819763,1452600,749
2/21/17,216.320007,217.320007,216.25,217.110001,191.942535,1893000,750
2/22/17,216.720001,217.190002,216.550003,217.009995,191.854156,1471400,751
2/23/17,217.539993,217.539993,216.300003,217.130005,191.96022,1717200,752
2/24/17,216.220001,217.419998,216.160004,217.389999,192.190079,1637700,753
2/27/17,217.320007,217.899994,217.020004,217.710007,192.473053,1942200,754
2/28/17,217.339996,217.580002,216.720001,217.070007,191.907181,2181000,755
3/1/17,218.899994,220.660004,218.869995,220.149994,194.630157,3325500,756
3/2/17,219.990005,220.020004,218.75,218.860001,193.489716,1657100,757
3/3/17,218.699997,219.089996,218.309998,218.979996,193.595779,1765900,758
3/6/17,218.070007,218.649994,217.630005,218.300003,192.994568,1530600,759
3/7/17,217.979996,218.330002,217.419998,217.639999,192.411072,1743200,760
3/8/17,217.949997,218.199997,217.070007,217.179993,192.004425,1784400,761
3/9/17,217.330002,217.839996,216.460007,217.410004,192.207779,1636200,762
3/10/17,218.550003,218.559998,217.259995,218.169998,192.879715,1819900,763
3/13/17,218.179993,218.410004,217.860001,218.300003,192.994568,1388100,764
3/14/17,217.770004,217.809998,216.889999,217.559998,192.340424,1428400,765
3/15/17,218.130005,219.850006,217.869995,219.369995,193.940552,3358800,766
3/16/17,219.610001,219.649994,218.649994,219,193.613495,1710900,767
3/17/17,219.300003,219.440002,218.559998,218.559998,193.224442,1588500,768
3/20/17,218.589996,218.889999,217.979996,218.369995,193.056458,1035900,769
3/21/17,219,219.130005,215.410004,215.580002,190.589905,3468700,770
3/22/17,214.580002,215.339996,213.949997,215.020004,190.978958,2600300,771
3/23/17,214.800003,216.020004,214.440002,214.800003,190.783539,2436700,772
3/24/17,215.139999,215.770004,213.880005,214.729996,190.721359,2647600,773
3/27/17,212.869995,214.720001,212.619995,214.380005,190.410492,2082900,774
3/28/17,214.160004,216.460007,214.050003,215.970001,191.822693,3057200,775
3/29/17,215.720001,216.470001,215.479996,216.289993,192.106918,1748500,776
3/30/17,216.169998,217.130005,215.979996,216.869995,192.62207,2494800,777
3/31/17,216.559998,217.110001,216.350006,216.350006,192.160233,1331400,778
4/3/17,216.509995,216.690002,214.740005,216.080002,191.920395,2843700,779
4/4/17,215.710007,216.25,215.330002,216.199997,192.027023,2481600,780
4/5/17,216.889999,217.929993,215.339996,215.539993,191.440781,2311800,781
4/6/17,215.710007,216.679993,215.220001,216.100006,191.938202,1635500,782
4/7/17,215.860001,216.639999,215.399994,215.910004,191.76944,1835900,783
4/10/17,216.059998,216.880005,215.5,216.059998,191.902634,1311900,784
4/11/17,215.630005,215.880005,214.25,215.789993,191.662842,1787300,785
4/12/17,215.490005,215.690002,214.619995,214.899994,190.87233,2002700,786
4/13/17,214.5,215.240005,213.470001,213.470001,189.602264,1806800,787
4/17/17,214,215.350006,213.800003,215.339996,191.263123,1746900,788
4/18/17,214.550003,215.240005,213.979996,214.75,190.739105,2695900,789
4/19/17,215.309998,215.699997,214.059998,214.279999,190.321701,2032400,790
4/20/17,214.979996,216.5,214.619995,216.029999,191.876022,2734000,791
4/21/17,215.970001,216.020004,214.929993,215.399994,191.316452,2594400,792
4/24/17,217.75,217.949997,217.229996,217.699997,193.359238,2366400,793
4/25/17,218.410004,219.360001,218.289993,219.009995,194.522827,1745100,794
4/26/17,218.960007,219.899994,218.809998,218.850006,194.380722,2824500,795
4/27/17,219.199997,219.360001,218.470001,219.020004,194.531708,1154200,796
4/28/17,219.330002,219.339996,218.429993,218.600006,194.158646,1257600,797
5/1/17,219.160004,219.570007,218.649994,219.130005,194.629364,1506700,798
5/2/17,219.289993,219.380005,218.770004,219.199997,194.691574,2573000,799
5/3/17,218.779999,219.169998,218.240005,218.979996,194.496185,1654600,800
5/4/17,219.270004,219.350006,218.309998,219.179993,194.673813,1439100,801
5/5/17,219.559998,220.059998,219.119995,220.059998,195.455444,1729700,802
5/8/17,220.130005,220.25,219.570007,220.070007,195.46434,2225000,803
5/9/17,220.289993,220.490005,219.440002,219.789993,195.215637,1636900,804
5/10/17,219.759995,220.220001,219.550003,220.199997,195.579773,1066900,805
5/11/17,219.740005,219.929993,218.619995,219.75,195.180069,1855700,806
5/12/17,219.5,219.600006,219.119995,219.410004,194.878113,1056500,807
5/15/17,219.880005,220.720001,219.830002,220.520004,195.863998,1440600,808
5/16/17,220.880005,220.940002,220,220.479996,195.828461,2452500,809
5/17/17,218.610001,219.070007,216.419998,216.570007,192.355637,3507700,810
5/18/17,216.330002,218.240005,216.130005,217.360001,193.057281,2894500,811
5/19/17,217.880005,219.470001,217.830002,218.710007,194.256363,2436500,812
5/22/17,219.259995,220.050003,219.229996,219.929993,195.33989,1865000,813
5/23/17,220.309998,220.539993,219.899994,220.360001,195.721893,1259000,814
5/24/17,220.639999,221,220.279999,220.889999,196.192581,1453900,815
5/25/17,221.429993,222.240005,221.210007,221.919998,197.107437,1564600,816
5/26/17,221.759995,222.070007,221.669998,221.929993,197.116364,1196000,817
5/30/17,221.559998,221.970001,221.419998,221.720001,196.929825,1511700,818
5/31/17,222.039993,222.080002,220.919998,221.669998,196.885391,2326200,819
6/1/17,222.139999,223.449997,221.860001,223.399994,198.421936,2112900,820
6/2/17,223.479996,224.320007,223.169998,224.100006,199.043747,1857600,821
6/5/17,223.990005,224.279999,223.809998,223.949997,198.910477,1831200,822
6/6/17,223.369995,223.949997,223.199997,223.309998,198.342041,1449400,823
6/7/17,223.690002,223.929993,222.929993,223.679993,198.670685,1328800,824
6/8/17,223.820007,224.309998,223.240005,223.759995,198.74173,1116100,825
6/9/17,224.119995,224.929993,222.100006,223.5,198.510757,2117600,826
6/12/17,223.210007,223.479996,222.509995,223.410004,198.430862,1812100,827
6/13/17,223.990005,224.570007,223.639999,224.5,199.399002,2170700,828
6/14/17,224.820007,224.839996,223.380005,224.259995,199.185791,1886000,829
6/15/17,222.860001,223.929993,222.509995,223.809998,198.786148,2170900,830
6/16/17,224,224.059998,222.940002,223.869995,198.839462,1603600,831
6/19/17,224.729996,225.770004,224.619995,225.699997,200.464783,1433100,832
6/20/17,225.360001,225.360001,224.179993,224.220001,199.150269,1366000,833
6/21/17,224.570007,224.699997,223.639999,224.130005,199.070343,1422000,834
6/22/17,224.169998,224.660004,223.869995,224,198.95491,1344400,835
6/23/17,223.119995,223.649994,222.720001,223.369995,199.293945,1257400,836
6/26/17,224,224.449997,223.240005,223.440002,199.356339,1321700,837
6/27/17,223.210007,223.520004,221.630005,221.660004,197.768234,3476700,838
6/28/17,222.729996,223.839996,222.5,223.619995,199.516937,2875800,839
6/29/17,223.809998,223.919998,220.419998,221.690002,197.795029,4613000,840
6/30/17,222.570007,222.910004,221.860001,222.059998,198.125137,2982300,841
7/3/17,223.089996,223.529999,222.470001,222.550003,198.562302,1762500,842
